index,Balance_ID,History_ID,Date,Money_Flow,Source,Source_Seq_No,Transaction_Amount,Balance,Unnamed: 0
,28078,135614,11/29/2019 23:13,1329.0,PAYED/CANCELLED2,2,1329.0,1329.0,64.0
,28078,135615,11/30/2019 2:13,-1329.0,PAYED/CANCELLED2,2,-1329.0,0.0,65.0
,28079,135509,11/29/2019 18:30,62.0,qitaf1,1,62.0,62.0,66.0
,28079,135512,11/29/2019 18:39,-38.0,qitaf1,1,-38.0,24.0,67.0
,28079,151393,1/22/2020 3:37,-24.0,qitaf1,1,-24.0,0.0,68.0
,28079,151407,1/22/2020 4:30,24.0,qitaf1,1,24.0,24.0,69.0
,28079,162369,03-06-2020 11:33,-24.0,qitaf1,1,-24.0,0.0,70.0
,28079,162377,03-06-2020 12:30,24.0,qitaf1,1,24.0,24.0,71.0
,28080,135515,11/29/2019 19:23,81.0,qitaf1,1,81.0,81.0,72.0
,28080,135516,11/29/2019 19:32,-81.0,qitaf1,1,-81.0,0.0,73.0
,28080,135534,11/29/2019 20:30,81.0,qitaf1,1,81.0,81.0,74.0
,28080,135815,11/30/2019 16:21,-81.0,qitaf1,1,-81.0,0.0,75.0
,28080,135817,11/30/2019 16:25,250.0,PAYED/CANCELLED1,2,250.0,250.0,76.0
,28080,135818,11/30/2019 19:25,-250.0,PAYED/CANCELLED1,2,-250.0,0.0,77.0
,28080,135942,11/30/2019 22:02,331.0,OtherSource1,3,331.0,331.0,78.0
,28080,136041,12-01-2019 02:03,-331.0,OtherSource1,3,-331.0,0.0,79.0
,28080,136042,12-01-2019 02:05,331.0,OtherSource1,3,331.0,331.0,80.0
,28080,136044,12-01-2019 02:13,-331.0,OtherSource1,3,-331.0,0.0,81.0
,28080,136053,12-01-2019 06:01,331.0,OtherSource1,3,331.0,331.0,82.0
,28080,136955,12-04-2019 03:31,-331.0,OtherSource1,3,-331.0,0.0,83.0
,28080,136965,12-04-2019 07:30,331.0,OtherSource1,3,331.0,331.0,84.0
,28080,136986,12-04-2019 11:02,-331.0,OtherSource1,3,-331.0,0.0,85.0
,28080,136987,12-04-2019 11:05,250.0,PAYED/CANCELLED2,4,250.0,250.0,86.0
,28080,136988,12-04-2019 14:05,-250.0,PAYED/CANCELLED2,4,-250.0,0.0,87.0
,28080,144619,12/31/2019 21:12,331.0,alrajhi3,5,331.0,331.0,88.0
,28080,144620,12/31/2019 21:12,250.0,nan3,6,250.0,581.0,89.0
,28080,144620,12/31/2019 21:12,250.0,nan4,7,250.0,831.0,90.0
